route_id,service_id,trip_id,direction_name
1,81554-1111100-0,17403779,East
1,81554-1111100-0,17403796,West
1,81554-1111100-0,17403787,West
2,81331-1111100-0,17285759,North
2,81331-1111100-0,17285758,South
3,81554-1111100-0,17404587,North
3,81554-1111100-0,17404586,South
4,81331-1111100-0,17286722,East
4,81331-1111100-0,17286721,West
4,81331-1111100-0,17287359,West
4,81331-1111100-0,17286704,West
5,81554-1111100-0,17403255,East
5,81554-1111100-0,17403254,West
6,81331-1111100-0,17286193,East
6,81331-1111100-0,17286192,West
6,81331-1111100-0,17286194,West
7,81331-1111100-0,17286014,North
7,81331-1111100-0,17286072,North
7,81331-1111100-0,17287355,North
7,81331-1111100-0,17286011,South
7,81331-1111100-0,17286021,South
8,81331-1111100-0,17287092,North
8,81331-1111100-0,17287070,North
8,81331-1111100-0,17287076,South
8,81331-1111100-0,17287058,South
9,81331-1111100-0,17286556,North
9,81333-0000001-0,17291824,North
9,81331-1111100-0,17286597,North
9,81331-1111100-0,17286555,South
9,81333-0000001-0,17291827,South
9,81332-0000010-0,17289863,South
10,81331-1111100-0,17287795,East
10,81332-0000010-0,17290207,East
10,81331-1111100-0,17287793,West
10,81332-0000010-0,17290208,West
11,81331-1111100-0,17286339,North
11,81331-1111100-0,17286403,North
11,81331-1111100-0,17286308,South
11,81331-1111100-0,17286340,South
11,81331-1111100-0,17286338,South
12,S2_82023-1111100-0,17545888,East
12,81331-1111100-0,17287401,East
12,81331-1111100-0,17284989,West
12,81333-0000001-0,17290948,West
12,81331-1111100-0,17285091,West
13,81331-1111100-0,17285843,North
13,81333-0000001-0,17291193,North
13,81331-1111100-0,17285949,South
13,81332-0000010-0,17289122,South
13,81331-1111100-0,17285849,South
14,81548-1111100-0,17402118,East
14,81548-1111100-0,17402121,West
18,81548-1111100-0,17401944,Clockwise
25,81548-1111100-0,17402236,North
25,81548-1111100-0,17402224,North
25,81548-1111100-0,17402221,South
25,81548-1111100-0,17402235,South
28,81554-1111100-0,17403777,East
28,81554-1111100-0,17403774,West
30,81331-1111100-0,17287441,North
