trip_id,stop_id,stop_sequence,shape_dist_traveled
17403779,94048,1,0.0
17403779,13510,2,0.672
17403779,10478,3,2.34
17403779,13391,4,2.42
17403779,10106,5,2.541
17403779,10111,6,2.646
17403779,10114,7,2.782
17403779,10494,8,2.922
17403779,12804,9,3.11
17403779,12453,10,3.325
17403779,12454,11,3.452
17403779,10502,12,3.583
17403779,10129,13,3.762
17403779,10517,14,3.933
17403779,10139,15,4.049
17403779,10533,16,4.22
17403779,10150,17,4.333
17403779,10543,18,4.511
17403779,10548,19,4.649
17403779,10189,20,4.935
17403779,10196,21,5.186
17403779,10201,22,5.338
17403779,10204,23,5.438
17403779,13485,24,5.744
17403779,13528,25,5.915
17403779,13531,26,6.035
17403779,10609,27,6.157
17403779,10612,28,6.222
17403779,10620,29,6.438
17403779,10623,30,6.588
17403779,88979,31,6.724
17403779,10247,32,7.015
17403779,10639,33,7.25
17403779,10257,34,7.441
17403779,10260,35,7.607
17403779,10655,36,7.737
17403779,10659,37,7.858
17403779,10665,38,8.014
17403779,10673,39,8.264
17403779,10679,40,8.537
17403779,10682,41,8.693
17403779,10688,42,8.951
17403779,10290,43,9.109
17403779,10691,44,9.331
17403779,10697,45,9.575
17403779,10303,46,9.928
17403779,10306,47,10.08
17403779,10310,48,10.343
17403779,12240,49,10.584
17403779,13161,50,10.774
17403779,10320,51,10.987
17403779,13410,52,11.436
17403796,11412,1,0.0
17403796,11033,2,0.182
17403796,11406,3,0.287
17403796,11399,4,0.481
17403796,11025,5,0.636
17403796,11389,6,0.774
17403796,11013,7,0.97
17403796,11010,8,1.099
17403796,11377,9,1.249
17403796,88980,10,1.481
17403796,10607,11,1.641
17403796,11369,12,1.791
17403796,11364,13,1.925
17403796,10986,14,2.051
17403796,11355,15,2.197
17403796,11351,16,2.324
17403796,13484,17,2.471
17403796,11344,18,2.612
17403796,10960,19,2.735
17403796,11333,20,2.891
17403796,10942,22,3.224
17403796,11303,23,3.584
17403796,11296,24,3.73
17403796,11290,25,3.863
17403796,13430,26,3.986
17403796,10894,27,4.197
17403796,11270,28,4.452
17403796,11671,29,4.749
17403796,11670,30,4.837
17403796,11675,31,5.111
17403796,10865,32,5.296
17403796,10862,33,5.402
17403796,11254,34,5.557
17403796,10852,35,5.696
17403796,10847,36,5.808
17403796,11225,37,8.071
17403796,94048,38,8.525
17403787,13410,1,0.0
17403787,13170,2,0.312
17403787,11461,3,0.457
17403787,11080,4,0.583
17403787,11079,5,0.848
17403787,11065,6,1.104
17403787,11445,7,1.258
17403787,11438,8,1.65
17403787,11053,9,1.953
17403787,11049,10,2.233
17403787,11044,11,2.486
17403787,11418,12,2.705
17403787,11412,13,2.977
17403787,11033,14,3.159
17403787,11406,15,3.263
17403787,11399,16,3.458
17403787,11025,17,3.613
17403787,11389,18,3.751
17403787,11013,19,3.947
17403787,11010,20,4.076
17403787,11377,21,4.226
17403787,88980,22,4.458
17403787,10607,23,4.618
17403787,11369,24,4.768
17403787,11364,25,4.902
17403787,10986,26,5.028
17403787,11355,27,5.174
17403787,11351,28,5.301
17403787,13484,29,5.448
17403787,11344,30,5.589
17403787,10960,31,5.712
17403787,11333,32,5.867
17403787,11329,33,5.962
17403787,10942,34,6.201
17403787,11303,35,6.561
17403787,11296,36,6.707
17403787,11290,37,6.84
17403787,13430,38,6.963
17403787,10894,39,7.174
17403787,11270,40,7.429
17403787,11671,41,7.726
17403787,11670,42,7.814
17403787,11675,43,8.088
17403787,10865,44,8.273
17403787,10862,45,8.379
17403787,11254,46,8.534
17403787,10852,47,8.673
17403787,10847,48,8.785
17403787,11225,49,11.048
17403787,94048,50,11.502
17285759,12012,2,0.144
17285759,10094,3,0.428
17285759,10099,4,0.581
17285759,13315,5,0.747
17285759,10109,6,0.899
17285759,10489,7,1.13
17285759,10119,8,1.369
17285759,10504,9,1.498
17285759,10134,10,1.671
17285759,10138,11,1.887
17285759,10532,12,2.03
17285759,10148,13,2.12
17285759,10166,14,2.347
17285759,13532,15,2.529
17285759,11300,16,2.719
17285759,12818,17,2.983
17285759,12474,18,3.104
17285759,12828,19,3.378
17285759,12830,20,3.913
17285759,10924,21,4.172
17285759,12478,22,4.403
17285759,12479,23,4.618
17285759,12824,24,4.728
17285759,12819,25,4.98
17285759,12475,26,5.082
17285759,12476,27,5.151
17285759,12822,28,5.46
17285759,12089,29,5.864
17285758,12089,1,0.0
17285758,12086,2,0.25
17285758,11692,3,0.484
17285758,12084,4,0.577
17285758,12082,5,0.73
17285758,11693,6,0.962
17285758,12093,7,1.065
17285758,12091,8,1.283
17285758,10162,9,1.518
17285758,11697,10,1.774
17285758,12096,11,2.303
17285758,11696,12,2.628
17285758,12099,13,2.794
17285758,10167,14,2.969
17285758,11694,16,3.27
17285758,11288,17,3.548
17285758,10904,18,3.65
17285758,11280,19,3.799
17285758,11684,20,3.958
17285758,10878,21,4.187
17285758,10873,22,4.293
17285758,10863,23,4.557
17285758,99342,24,4.782
17285758,13311,25,4.972
17285758,13312,26,5.131
17285758,10840,27,5.342
17285758,10839,28,5.473
17404587,70024,1,0.0
17404587,12166,2,0.161
17404587,91043,3,0.275
17404587,12165,4,0.508
17404587,12164,5,0.777
17404587,11749,6,0.912
17404587,11382,7,1.076
17404587,11000,8,1.318
17404587,12878,9,1.529
17404587,12879,10,1.632
17404587,91106,11,1.838
17404587,11365,12,2.017
17404587,10982,13,2.176
17404587,11353,14,2.362
17404587,11346,15,2.616
17404587,10962,16,2.72
17404587,10956,17,2.845
17404587,10949,18,3.093
17404587,11324,19,3.242
17404587,11319,20,3.458
17404587,11310,21,3.607
17404587,10925,22,3.833
17404587,10918,23,3.959
17404587,10912,24,4.088
17404587,10907,25,4.197
17404587,10893,26,4.449
17404587,10890,27,4.522
17404587,12464,28,4.624
17404587,12465,29,4.777
17404587,12466,30,4.922
17404587,11275,31,5.032
17404587,11264,32,5.233
17404587,11263,33,5.342
17404587,10866,34,5.521
17404587,11256,35,5.698
17404587,10858,36,5.809
17404587,10856,37,5.872
17404587,10848,38,5.981
17404587,89026,39,6.192
17404587,12434,40,6.51
17404587,12765,41,6.61
17404587,12766,42,6.833
17404587,12427,43,7.017
17404587,12771,44,7.26
17404587,12770,45,7.404
17404587,12767,46,7.54
17404587,12772,47,7.694
17404587,12439,48,7.906
17404587,12773,49,8.184
17404587,12429,50,8.347
17404587,12432,51,8.473
17404587,12430,52,8.709
17404587,11243,53,8.852
17404587,11236,54,8.956
17404587,12009,55,9.361
17404586,12009,1,0.0
17404586,10468,2,0.403
17404586,12027,3,0.591
17404586,12025,4,0.67
17404586,12028,5,0.909
17404586,12041,6,1.099
17404586,11645,7,1.221
17404586,12037,8,1.363
